audit_id,audit_name,school,grade,tel ,address ,status
a_00001,李怡蓁,新北市立三峽高級中學,二年級,0998705230,新北市板橋區中山路一段300號,諮詢
a_00003,周怡蓁,新北市立三峽高級中學,一年級,0932113156,新北市板橋區中山路一段300號,諮詢
a_00006,周俊偉,台北市立景美高級中學,三年級,0923641960,新北市新店區北新路三段88號,諮詢
a_00007,李家豪,台北市立光明高級中學,一年級,0937776273,台北市信義區松仁路50號,諮詢
a_00008,周佳玲,台北市立大理高級中學,二年級,0910360782,台北市大安區信義路四段200號,諮詢
a_00012,吳家豪,台北市立建國高級中學,三年級,0978821888,新北市新店區北新路三段88號,諮詢
a_00013,劉雅涵,新北市立中和高級中學,三年級,0986486669,基隆市中正區中正路99號,諮詢
a_00022,李怡蓁,新北市立新店高級中學,一年級,0913401768,基隆市仁愛區忠一路17號,諮詢
a_00023,王偉漢,台北市立建國高級中學,三年級,0968804038,新北市新莊區新樹路123號,諮詢
a_00028,周俊偉,台北市立實踐高級中學,二年級,0954463435,基隆市中正區中正路99號,諮詢
a_00029,趙家瑄,台北市立大直高級中學,一年級,0973099889,台北市中正區忠孝東路一段100號,諮詢
a_00031,李家豪,新北市立淡水高級中學,一年級,0933196050,台北市信義區松仁路50號,諮詢
a_00032,黃志豪,新北市立中和高級中學,三年級,0974386440,台北市大安區信義路四段200號,諮詢
a_00033,周志豪,新北市立新北高級中學,三年級,0996646962,台北市大安區信義路四段200號,諮詢
a_00034,劉志豪,台北市立景美高級中學,二年級,0984118053,新北市新莊區新樹路123號,諮詢
a_00035,周怡蓁,新北市立瑞芳高級中學,一年級,0967031850,新北市中和區永和路45巷15號,諮詢
a_00038,陳怡蓁,台北市立大同高級中學,一年級,0959185737,新北市板橋區中山路一段300號,諮詢
a_00039,吳芳婷,新北市立三峽高級中學,二年級,0925911180,台北市士林區天母東路20號,諮詢
a_00043,王家豪,新北市立新莊高級中學,三年級,0959378801,台北市大安區信義路四段200號,諮詢
a_00044,陳家瑄,新北市立泰山高級中學,二年級,0941675030,台北市大安區信義路四段200號,諮詢
a_00045,王家豪,台北市立大同高級中學,一年級,0969469715,台北市大安區信義路四段200號,諮詢
a_00051,趙芳婷,台北市立松山高級中學,一年級,0932160958,基隆市中正區中正路99號,諮詢
a_00054,吳家豪,新北市立新莊高級中學,一年級,0925001255,新北市中和區永和路45巷15號,諮詢
a_00058,張家瑄,台北市立光明高級中學,二年級,0947082286,台北市信義區松仁路50號,諮詢
a_00066,張偉漢,台北市立和平高級中學,一年級,0917113375,新北市新莊區新樹路123號,諮詢
a_00072,張家瑄,台北市立南港高級中學,二年級,0994224376,新北市新店區北新路三段88號,諮詢
a_00073,陳建勳,新北市立新莊高中,一年級,0932847849,台北市大安區信義路四段200號,諮詢
a_00074,林偉漢,新北市立三芝高級中學,一年級,0988557660,新北市新店區北新路三段88號,諮詢
a_00075,陳家瑄,台北市立和平高級中學,三年級,0939578430,台北市大安區信義路四段200號,諮詢
a_00085,李芳婷,台北市立中山高級中學,二年級,0974853212,基隆市仁愛區忠一路17號,諮詢
a_00086,周家豪,新北市立鶯歌高級中學,二年級,0931753654,基隆市仁愛區忠一路17號,諮詢
a_00088,周怡蓁,新北市立金山高級中學,一年級,0919111790,台北市信義區松仁路50號,諮詢
a_00093,劉芳婷,新北市立新北高級中學,二年級,0939121245,新北市新莊區新樹路123號,諮詢
a_00094,吳雅涵,新北市立泰山高級中學,三年級,0933065692,新北市新莊區新樹路123號,諮詢
a_00097,張芳婷,新北市立瑞芳高級中學,一年級,0915391900,台北市大安區信義路四段200號,諮詢
a_00098,張建勳,新北市立五股高級中學,二年級,0991122698,台北市中正區忠孝東路一段100號,諮詢
a_00099,張佳玲,台北市立和平高級中學,二年級,0982083439,新北市新莊區新樹路123號,諮詢
a_00004,周芳婷,新北市立林口高級中學,一年級,0996120716,新北市新莊區新樹路123號,其他補習班
a_00009,黃芳婷,新北市立金山高級中學,一年級,0969326251,台北市中正區忠孝東路一段100號,其他補習班
a_00010,王俊偉,台北市立中正高級中學,三年級,0928762589,基隆市中正區中正路99號,其他補習班
a_00015,李怡蓁,台北市立西松高級中學,一年級,0951072320,台北市士林區天母東路20號,其他補習班
a_00017,吳偉漢,新北市立三重高級中學,三年級,0946053236,基隆市中正區中正路99號,其他補習班
a_00020,陳志豪,私立薇閣高級中學,二年級,0961082722,基隆市中正區中正路99號,其他補習班
a_00030,趙怡蓁,台北市立中山高級中學,二年級,0941436649,新北市中和區永和路45巷15號,其他補習班
a_00037,趙怡蓁,台北市立大同高級中學,一年級,0979704553,新北市新莊區新樹路123號,其他補習班
a_00042,吳偉漢,新北市立瑞芳高級中學,三年級,0950356621,新北市中和區永和路45巷15號,其他補習班
a_00046,周佳玲,新北市立瑞芳高級中學,二年級,0997237792,新北市新莊區新樹路123號,其他補習班
a_00048,張建勳,新北市立新北高級中學,三年級,0992674553,台北市士林區天母東路20號,其他補習班
a_00052,王芳婷,新北市立新店高級中學,一年級,0999770012,台北市中正區忠孝東路一段100號,其他補習班
a_00055,周佳玲,台北市立南港高級中學,一年級,0977097763,台北市中正區忠孝東路一段100號,其他補習班
a_00059,王家瑄,新北市立瑞芳高級中學,三年級,0966331517,台北市士林區天母東路20號,其他補習班
a_00060,劉志豪,新北市立五股高級中學,二年級,0923124644,新北市新莊區新樹路123號,其他補習班
a_00061,林家豪,新北市立土城高級中學,二年級,0931782168,新北市板橋區中山路一段300號,其他補習班
a_00064,黃芳婷,新北市立淡水高級中學,一年級,0994276160,基隆市仁愛區忠一路17號,其他補習班
a_00071,周雅涵,台北市立華岡高級中學,二年級,0913183619,基隆市中正區中正路99號,其他補習班
a_00076,周怡蓁,台北市立中正高級中學,三年級,0950373902,台北市中正區忠孝東路一段100號,其他補習班
a_00078,張偉漢,台北市立中正高級中學,一年級,0962709497,新北市新店區北新路三段88號,其他補習班
a_00079,黃雅涵,新北市立板橋高級中學,三年級,0926622024,基隆市中正區中正路99號,其他補習班
a_00081,張偉漢,新北市立鶯歌高級中學,一年級,0980152153,新北市板橋區中山路一段300號,其他補習班
a_00083,王志豪,新北市立三峽高級中學,二年級,0932047869,台北市信義區松仁路50號,其他補習班
a_00091,李芳婷,私立薇閣高級中學,一年級,0984246843,基隆市仁愛區忠一路17號,其他補習班
a_00092,周建勳,台北市立和平高級中學,二年級,0941247685,基隆市仁愛區忠一路17號,其他補習班
a_00096,劉家豪,新北市立三芝高級中學,一年級,0987581480,基隆市中正區中正路99號,其他補習班
a_00100,吳俊偉,台北市立大直高級中學,一年級,0965713655,台北市大安區信義路四段200號,其他補習班
a_00002,李佳玲,台北市立大同高級中學,三年級,0948368077,基隆市仁愛區忠一路17號,已報名
a_00005,林雅涵,台北市立建國高級中學,三年級,0934117054,新北市板橋區中山路一段300號,已報名
a_00011,周建勳,台北市立大同高級中學,一年級,0917727219,新北市新莊區新樹路123號,已報名
a_00014,李怡蓁,台北市立中正高級中學,二年級,0959586178,新北市新店區北新路三段88號,已報名
a_00016,陳芳婷,台北市立南港高級中學,三年級,0961949273,新北市新莊區新樹路123號,已報名
a_00018,林俊偉,新北市立鶯歌高級中學,一年級,0929702241,新北市新莊區新樹路123號,已報名
a_00019,王家豪,台北市立和平高級中學,二年級,0934557841,新北市板橋區中山路一段300號,已報名
a_00021,陳雅涵,台北市立第一女子高級中學,三年級,0944679235,新北市中和區永和路45巷15號,已報名
a_00024,林家瑄,新北市立新莊高中,二年級,0912879882,台北市士林區天母東路20號,已報名
a_00025,王偉漢,新北市立瑞芳高級中學,一年級,0922754008,新北市板橋區中山路一段300號,已報名
a_00026,李家豪,台北市立大安高級中學,二年級,0938157904,台北市大安區信義路四段200號,已報名
a_00027,劉志豪,新北市立新莊高中,三年級,0916714262,台北市大安區信義路四段200號,已報名
a_00036,陳雅涵,新北市立三芝高級中學,三年級,0940946647,基隆市仁愛區忠一路17號,已報名
a_00040,張怡蓁,新北市立三芝高級中學,三年級,0912958507,基隆市仁愛區忠一路17號,已報名
a_00041,王家豪,新北市立三峽高級中學,二年級,0910-692-759,台北市信義區松高路11號,已報名
