audit_id,audit_name,school,grade,tel ,address ,status
a_00001,李怡蓁,基隆高中,二年級,0998705230,新北市板橋區中山路一段300號,諮詢
a_00003,周怡蓁,南山中學,一年級,0932113156,新北市板橋區中山路一段300號,諮詢
a_00006,周俊偉,板橋高中,三年級,0923641960,新北市新店區北新路三段88號,諮詢
a_00007,李家豪,淡江中學,一年級,0937776273,台北市信義區松仁路50號,諮詢
a_00008,周佳玲,華江高中,二年級,0910360782,台北市大安區信義路四段200號,諮詢
a_00012,吳家豪,海山高中,三年級,0978821888,新北市新店區北新路三段88號,諮詢
a_00013,劉雅涵,三重高中,三年級,0986486669,基隆市中正區中正路99號,諮詢
a_00022,李怡蓁,輔大附中,一年級,0913401768,基隆市仁愛區忠一路17號,諮詢
a_00023,王偉漢,三重高中,三年級,0968804038,新北市新莊區新樹路123號,諮詢
a_00028,周俊偉,景美女中,二年級,0954463435,基隆市中正區中正路99號,諮詢
a_00029,趙家瑄,崇右高中,一年級,0973099889,台北市中正區忠孝東路一段100號,諮詢
a_00031,李家豪,成功高中,一年級,0933196050,台北市信義區松仁路50號,諮詢
a_00032,黃志豪,內湖高中,三年級,0974386440,台北市大安區信義路四段200號,諮詢
a_00033,周志豪,淡江中學,三年級,0996646962,台北市大安區信義路四段200號,諮詢
a_00034,劉志豪,成功高中,二年級,0984118053,新北市新莊區新樹路123號,諮詢
a_00035,周怡蓁,建國中學,一年級,0967031850,新北市中和區永和路45巷15號,諮詢
a_00038,陳怡蓁,三重高中,一年級,0959185737,新北市板橋區中山路一段300號,諮詢
a_00039,吳芳婷,崇右高中,二年級,0925911180,台北市士林區天母東路20號,諮詢
a_00043,王家豪,板橋高中,三年級,0959378801,台北市大安區信義路四段200號,諮詢
a_00044,陳家瑄,松山高中,二年級,0941675030,台北市大安區信義路四段200號,諮詢
a_00045,王家豪,板橋高中,一年級,0969469715,台北市大安區信義路四段200號,諮詢
a_00051,趙芳婷,三重高中,一年級,0932160958,基隆市中正區中正路99號,諮詢
a_00054,吳家豪,崇右高中,一年級,0925001255,新北市中和區永和路45巷15號,諮詢
a_00058,張家瑄,中山女高,二年級,0947082286,台北市信義區松仁路50號,諮詢
a_00066,張偉漢,輔大附中,一年級,0917113375,新北市新莊區新樹路123號,諮詢
a_00072,張家瑄,崇右高中,二年級,0994224376,新北市新店區北新路三段88號,諮詢
a_00073,陳建勳,板橋高中,一年級,0932847849,台北市大安區信義路四段200號,諮詢
a_00074,林偉漢,師大附中,一年級,0988557660,新北市新店區北新路三段88號,諮詢
a_00075,陳家瑄,景文中學,三年級,0939578430,台北市大安區信義路四段200號,諮詢
a_00085,李芳婷,建國中學,二年級,0974853212,基隆市仁愛區忠一路17號,諮詢
a_00086,周家豪,松山高中,二年級,0931753654,基隆市仁愛區忠一路17號,諮詢
a_00088,周怡蓁,內湖高中,一年級,0919111790,台北市信義區松仁路50號,諮詢
a_00093,劉芳婷,成功高中,二年級,0939121245,新北市新莊區新樹路123號,諮詢
a_00094,吳雅涵,華江高中,三年級,0933065692,新北市新莊區新樹路123號,諮詢
a_00097,張芳婷,板橋高中,一年級,0915391900,台北市大安區信義路四段200號,諮詢
a_00098,張建勳,三重高中,二年級,0991122698,台北市中正區忠孝東路一段100號,諮詢
a_00099,張佳玲,內湖高中,二年級,0982083439,新北市新莊區新樹路123號,諮詢
