student_id,student_name,school,grade,tel,address,status
s_2021001,劉家瑄,輔大附中,三年級,0978926651,台北市信義區松仁路50號,已離開
s_2021002,吳佳玲,板橋高中,三年級,0961968912,新北市新店區北新路三段88號,
s_2021003,張怡蓁,永春高中,二年級,0926099596,新北市新莊區新樹路123號,
s_2021004,張佳玲,基隆高中,三年級,0971096619,台北市士林區天母東路20號,
s_2021005,黃佳玲,南山中學,三年級,0940510086,台北市士林區天母東路20號,
s_2021006,王志豪,永春高中,一年級,0949037611,台北市中正區忠孝東路一段100號,
s_2021007,張建勳,崇右高中,三年級,0967654578,新北市新莊區新樹路123號,
s_2021008,王家瑄,三重高中,二年級,0978118983,新北市新莊區新樹路123號,
s_2021009,林雅涵,板橋高中,一年級,0929912900,新北市中和區永和路45巷15號,已離開
s_2021010,趙雅涵,三重高中,三年級,0925862230,新北市中和區永和路45巷15號,
s_2021011,李偉漢,華江高中,三年級,0977929425,基隆市仁愛區忠一路17號,
s_2021012,劉建勳,成功高中,二年級,0939915257,台北市大安區信義路四段200號,
s_2021013,劉怡蓁,景美女中,三年級,0947772839,新北市中和區永和路45巷15號,
s_2021014,張雅涵,板橋高中,三年級,0942133788,新北市板橋區中山路一段300號,
s_2021015,李佳玲,崇右高中,三年級,0948368077,基隆市仁愛區忠一路17號,
s_2021016,林雅涵,景文中學,三年級,0934117054,新北市板橋區中山路一段300號,
s_2021017,周建勳,海山高中,一年級,0917727219,新北市新莊區新樹路123號,
s_2021018,李怡蓁,永春高中,二年級,0959586178,新北市新店區北新路三段88號,
s_2021019,陳芳婷,輔大附中,三年級,0961949273,新北市新莊區新樹路123號,
s_2021020,林俊偉,內湖高中,一年級,0929702241,新北市新莊區新樹路123號,
s_2021021,王家豪,成功高中,二年級,0934557841,新北市板橋區中山路一段300號,
s_2021022,陳雅涵,崇右高中,三年級,0944679235,新北市中和區永和路45巷15號,
s_2021023,林家瑄,南山中學,二年級,0912879882,台北市士林區天母東路20號,
s_2021024,王偉漢,南山中學,一年級,0922754008,新北市板橋區中山路一段300號,
s_2021025,李家豪,新莊高中,二年級,0938157904,台北市大安區信義路四段200號,
s_2021026,劉志豪,輔大附中,三年級,0916714262,台北市大安區信義路四段200號,
s_2021027,陳雅涵,三重高中,三年級,0940946647,基隆市仁愛區忠一路17號,
s_2021028,張怡蓁,海山高中,三年級,0912958507,基隆市仁愛區忠一路17號,
s_2021029,陳偉漢,內湖高中,一年級,0936759919,新北市新店區北新路三段88號,
s_2021030,黃雅涵,輔大附中,一年級,0935453111,新北市新莊區新樹路123號,
s_2021031,陳建勳,三重高中,一年級,0962047168,新北市新莊區新樹路123號,
s_2021032,黃心妤,台北市立第一女子高級中學,三年級,0911-835-867,台北市中正區忠孝西路一段120號,
s_2021033,蔡思涵,新北市立新店高級中學,二年級,0911-855-228,台北市中正區忠孝西路一段120號,
s_2021034,黃家豪,台北市立建國高級中學,三年級,0972-394-431,新北市永和區永和路一段100號,
s_2021035,張昀潔,台北市立建國高級中學,二年級,0930-319-973,台北市中正區忠孝西路一段120號,
s_2021036,李思涵,新北市立新店高級中學,二年級,0972-768-392,基隆市仁愛區愛三路50號,
s_2021037,吳昀潔,基隆市立中山高級中學,二年級,0930-808-148,新北市板橋區中山路一段200號,
s_2021038,吳怡君,台北市立第一女子高級中學,二年級,0912-716-313,基隆市中正區北寧路100號,
s_2021039,吳怡君,台北市立第一女子高級中學,一年級,0911-641-730,基隆市仁愛區愛三路50號,
s_2021040,王昱婷,基隆市立中山高級中學,二年級,0911-880-204,新北市永和區永和路一段100號,
s_2021041,王心妤,台北市立第一女子高級中學,三年級,0972-779-214,新北市板橋區中山路一段200號,
s_2021042,蔡思涵,基隆市立中山高級中學,二年級,0952-918-848,台北市信義區松高路11號,
s_2021043,王志豪,台北市立第一女子高級中學,一年級,0912-673-447,新北市永和區永和路一段100號,
s_2021044,蔡佳穎,基隆市立中山高級中學,一年級,0911-226-106,台北市信義區松高路11號,
s_2021045,王冠宇,台北市立建國高級中學,二年級,0992-977-602,新北市永和區永和路一段100號,
s_2021046,蔡昱婷,基隆市立中山高級中學,二年級,0992-870-418,基隆市仁愛區愛三路50號,
