student_name,tel,city,district,route
鄒妮雁,0930832451,屏東縣,屏東市,玉光巷42號之9
黃淳青,0936371056,高雄市,左營區,高鐵路95號
黃寧瑩,0963111882,高雄市,大樹區,溪埔路67號
張芝莘,0913228078,高雄市,梓官區,大宅街77號7樓
李夫庸,0918543785,臺南市,北區,力行街96號
康皓雅,0917508780,臺中市,北區,育強街28號
徐峻顏,0952744567,臺南市,鹽水區,後厝65號2樓
姜宣韋,0929626499,高雄市,前鎮區,保泰路43號11樓
吳晉義,0921675806,臺中市,西屯區,中清路２段50號4樓之2
鍾新義,0916973072,桃園市,八德區,瑞安街46號2樓之19
王叡春,0937204441,臺北市,大同區,承德路３段7號3樓
張泓濤,0938711503,臺東縣,臺東市,興安路１段21號10樓
沈培靜,0937845609,高雄市,苓雅區,成功一路24號之5
康利子,0989388314,臺中市,北區,衛道四街59號之10
姜好曼,0914629502,高雄市,桃源區,阿其巴路23號
薛冬慧,0986268681,臺中市,清水區,民享路28號之9
蔡強清,0928444782,嘉義縣,梅山鄉,鹿寮坪14號
汪歆霞,0910384610,高雄市,三民區,瀋陽街79號
李業江,0961517058,新北市,瑞芳區,草山路59號9樓
郭志潮,0929565471,高雄市,小港區,第八十一號碼頭72號
潘榮諺,0972231412,桃園市,觀音區,保生六路90號
賴苑諄,0913026504,花蓮縣,吉安鄉,吉昌一街19號之8
柯棟芝,0930845337,桃園市,觀音區,玉林路１段70號11樓之8
蔡採璇,0910729951,宜蘭縣,五結鄉,孝威路67號
陳庸韜,0912949972,臺中市,南區,信義南街6號
曾承錦,0988177449,彰化縣,伸港鄉,定興路88號
林霖韶,0922880962,花蓮縣,花蓮市,林政街35號11樓
楊瑤盧,0960787353,桃園市,龍潭區,九座寮91號
陳勳晗,0958187750,高雄市,橋頭區,里林東路鐵路東巷22號
邵萬韶,0986791156,高雄市,橋頭區,樹德路22號7樓
李舒艾,0928117823,高雄市,三民區,信國路32號
林洋舒,0954466002,桃園市,中壢區,金陵路41號8樓之4
黃文若,0988104617,嘉義縣,朴子市,內厝29號4樓
賴奇晗,0924626078,臺中市,西區,英才路20號4樓
劉江研,0911514006,高雄市,前鎮區,明鳳二十街39號
李年道,0917484376,桃園市,中壢區,忠孝路5號
汪慧梅,0915003526,雲林縣,虎尾鎮,汕尾83號
余煜珍,0952283867,臺中市,清水區,光復街71號5樓
林璧筱,0918235040,新北市,鶯歌區,朝陽街五柳巷48號
蔡湘玉,0933379720,高雄市,橋頭區,中崎路關聖巷59號
鐘筠綺,0913386661,高雄市,岡山區,民族路27號6樓
李允菁,0916608052,高雄市,岡山區,本洲一街72號11樓
黎昭雪,0930045840,宜蘭縣,頭城鎮,東興街69號之8
陳超銘,0938759985,臺中市,潭子區,祥和新莊91號4樓
孫寶強,0917416520,新北市,板橋區,金門街43號3樓
田光宸,0937370361,新竹縣,新豐鄉,翠豐路50號6樓
陳堯璟,0938551556,屏東縣,屏東市,民生路21號6樓
李琴紈,0986559882,屏東縣,屏東市,武立街93號
戴明添,0922468757,花蓮縣,壽豐鄉,三農場2號5樓
張春陽,0988341626,臺中市,烏日區,溪南路１段1號
陳姣彤,0922370186,金門縣,金城鎮,環島北路57號
程尹靄,0931940297,高雄市,鳳山區,文澄街9號
楊欽歆,0955607846,桃園市,大園區,東北角貨運機坪52號
石旻藝,0924273792,臺南市,東區,前鋒路76號11樓
石峯清,0916970494,南投縣,竹山鎮,圓山巷52號12樓之12
韓石鈞,0912904544,彰化縣,員林市,南平五街65號11樓
鄭卓雅,0932983960,臺北市,信義區,吳興街60號
林尚景,0931129665,臺南市,安南區,樂活二十二街32號10樓
林世強,0922391220,桃園市,平鎮區,平東路２段77號
陳俊可,0955790752,臺中市,神岡區,三民路47號
柯洋琛,0954000606,高雄市,前鎮區,鎮興路26號12樓之9
廖嬋旻,0934490719,彰化縣,社頭鄉,山路３段97號
黃俊祟,0960130103,臺東縣,東河鄉,那界4號
侯善書,0910159658,新竹市,北區,文雅街70號
陸俠拓,0931220674,嘉義縣,番路鄉,公仔15號7樓
李嚴馳,0916549697,高雄市,燕巢區,安招路22號之8
謝初易,0915601352,新北市,汐止區,信義路65號之13
張吉妹,0911399681,嘉義縣,東石鄉,連潭38號之13
曾常雙,0968540817,新北市,淡水區,中正東路１段16號10樓
蔡珂靈,0972547389,新北市,泰山區,半山雅99號4樓之12
鄒斯泓,0926898527,新竹縣,湖口鄉,綠野36號
李尹瑞,0939770632,臺北市,松山區,民生東路５段70號
彭林漢,0921654595,花蓮縣,玉里鎮,宮前41號
郭晗騏,0916350388,苗栗縣,通霄鎮,白東24號之1
鐘偉秉,0972219228,高雄市,鹽埕區,莒光街34號
李宗家,0937966470,桃園市,桃園區,永安路96號
巫懿萍,0989424509,臺中市,霧峰區,中正路1號
徐森瑾,0961849184,新北市,三芝區,四棧橋73號
曾天遠,0936096388,臺南市,仁德區,中山路66號
劉任華,0955103759,臺南市,新化區,口埤83號9樓之9
趙婭漢,0914209670,南投縣,魚池鄉,文正巷54號
陸勝睿,0913230809,高雄市,大社區,蜈潭巷11號
魏禹綺,0963162095,宜蘭縣,頭城鎮,港口路56號
許強良,0924679045,高雄市,左營區,緯六路87號2樓之19
朱貴顏,0988240511,嘉義縣,竹崎鄉,中心崙87號
邵旻茹,0916093548,南投縣,魚池鄉,新店巷76號
卓琴詠,0972304198,苗栗縣,苗栗市,復興路２段85號11樓
楊立芬,0927773926,屏東縣,東港鎮,中興街85號
鍾言軒,0963636319,苗栗縣,頭份市,喜街64號之14
姚佑盛,0926303958,屏東縣,恆春鎮,五里路77號之14
吳森玉,0986286678,高雄市,三民區,大豐二路82號10樓
李少語,0912085917,高雄市,楠梓區,大學六十街9號
姜峯祺,0939931515,臺南市,安平區,漁光路49號
高熙雪,0934521106,桃園市,楊梅區,文化街88號12樓
潘鈞陣,0963429011,宜蘭縣,冬山鄉,寶德路94號
何南義,0968795075,屏東縣,新園鄉,義仁路42號12樓
范婷嫻,0931244051,新北市,中和區,保健路84號
李宜竹,0970555800,新北市,新莊區,民樂街69號7樓
林穎葉,0924706016,新竹市,北區,鐵道路２段99號
童善韶,0930855358,屏東縣,恆春鎮,墾丁路石牛巷77號
謝宸蕾,0972802287,彰化縣,和美鎮,健康新村五街32號4樓之17
古希韜,0919403751,嘉義縣,竹崎鄉,石壁79號
陳添雨,0987025293,屏東縣,萬丹鄉,加勇路41號
許惠遠,0935677270,南投縣,國姓鄉,福旗巷65號
魏晨紫,0930499501,嘉義縣,鹿草鄉,鹿草84號
廖濤穎,0923803181,臺中市,西屯區,福星路42號
邱卿穎,0972597992,新北市,土城區,學府路２段10號7樓
劉嘉嬈,0960192259,高雄市,前鎮區,一心二路8號
劉秀育,0915239334,嘉義縣,阿里山鄉,自忠87號3樓
黎珮雅,0927906944,臺中市,西屯區,惠中六街57號6樓
紀展裕,0911063719,桃園市,平鎮區,延平路２段75號
王力建,0926328030,苗栗縣,後龍鎮,三民路97號
蔡懷萱,0935308516,雲林縣,斗六市,嘉新二路39號
袁勝梓,0920732181,新北市,新莊區,中原路89號
林清逸,0932276571,彰化縣,員林市,雙景街22號
洪庸雲,0910828968,新北市,汐止區,民族五街95號6樓
彭任陣,0963718464,彰化縣,社頭鄉,仁愛二路91號8樓之18
李伯祐,0934072298,臺中市,西區,民生路18號
沈博致,0917547670,高雄市,三民區,建興三巷38號
鍾晉磊,0989891190,臺北市,文山區,富山路77號
鐘義韶,0930815347,桃園市,中壢區,富國街98號10樓
葉彬晉,0953689340,高雄市,湖內區,中正路２段62號6樓
周璇遠,0916395083,新北市,新莊區,後港二路7號
蔡帆雯,0971583730,南投縣,仁愛鄉,虎門巷73號
徐崇雪,0910441994,南投縣,南投市,學府一街4號2樓
