parent_name,parent_tel,student_id
郭曉銀,0928188311,s_202100001
陳嫻筠,0932574077,s_202100002
朱秉龍,0937089531,s_202100003
張福穎,0938483671,s_202100004
詹沛純,0934327818,s_202100005
林芝遠,0933911293,s_202100006
莊伯淇,0953182908,s_202100007
蔡巖景,0987360715,s_202100008
林琪萬,0955301652,s_202100009
傅安沫,0952189676,s_202100010
紀瑞碧,0930329156,s_202100011
翁夏於,0956516564,s_202100012
施亭莘,0928505960,s_202100013
胡娜竹,0968710564,s_202100014
吳巖濱,0930294961,s_202100015
翁寧韶,0953281258,s_202100016
余來運,0963833737,s_202100017
蔡梓辰,0919384347,s_202100018
柯晉清,0919250386,s_202100019
金亞添,0929547489,s_202100020
胡仁玉,0929433069,s_202100021
傅彥月,0934365937,s_202100022
王琛許,0914752561,s_202100023
石先君,0915072621,s_202100024
康泰馨,0925310100,s_202100025
戴潔菲,0933316577,s_202100026
蔡瑋秀,0930956090,s_202100027
姜盧薇,0923573054,s_202100028
黃懿曄,0935250262,s_202100029
潘元皓,0919626874,s_202100030
張召家,0968058200,s_202100031
劉瀾詩,0961158885,s_202100032
邵碩秀,0933597235,s_202100033
郭堯運,0953075939,s_202100034
張洪鑫,0910014034,s_202100035
杜剛汶,0938334859,s_202100036
游奕雪,0971612502,s_202100037
馬淇聖,0988245939,s_202100038
林林隆,0986585152,s_202100039
黃斯賢,0932593229,s_202100040
薛來韻,0920922186,s_202100041
張婭軒,0910508403,s_202100042
劉潔賢,0916130251,s_202100043
洪峻碩,0936012916,s_202100044
楊棟江,0930976787,s_202100045
林晨樂,0929433355,s_202100046
方世功,0912133693,s_202100047
陳天嬡,0934218744,s_202100048
許庸翰,0926809752,s_202100049
藍楚輝,0934673721,s_202100050
紀影方,0925744302,s_202100051
郭宜尹,0953047549,s_202100052
盧昱飛,0931827625,s_202100053
沈嫣莘,0934665707,s_202100054
李弘立,0931877912,s_202100055
吳津藝,0986521978,s_202100056
張晟瑾,0961584498,s_202100057
張斯樹,0919454255,s_202100058
董世月,0916793595,s_202100059
黃子欽,0920666559,s_202100060
賴嘉濤,0930880896,s_202100061
袁藴齊,0921846619,s_202100062
歐依益,0963762099,s_202100063
姚苡詠,0987618345,s_202100064
張文瑜,0960416540,s_202100065
黃庭雨,0971175404,s_202100066
紀清臻,0961629394,s_202100067
蔡珮艾,0916081588,s_202100068
林建騏,0971410787,s_202100069
鐘旭諺,0917283710,s_202100070
賴啟精,0922001376,s_202100071
馮煒邦,0958955820,s_202100072
張巖豐,0924463068,s_202100073
陳嬡禎,0918670898,s_202100074
黃中曉,0923943302,s_202100075
朱倫威,0960988307,s_202100076
溫叡廷,0933278940,s_202100077
蘇越鬆,0928721620,s_202100078
周凡舟,0935863139,s_202100079
曾堇威,0932569361,s_202100080
薛剛風,0934978954,s_202100081
鄭漢玟,0935705480,s_202100082
林昊棟,0919385817,s_202100083
彭歌雨,0958342862,s_202100084
傅川煒,0914283903,s_202100085
張嘉明,0936464195,s_202100086
鄭嬋玲,0954552145,s_202100087
洪儀禹,0914377567,s_202100088
高秉雪,0920573130,s_202100089
周泓琪,0955926931,s_202100090
古鋭鳴,0936807291,s_202100091
宋姿玥,0986534650,s_202100092
紀峻成,0972945365,s_202100093
林展維,0989513411,s_202100094
汪恬盈,0935080534,s_202100095
吳彌耀,0924167508,s_202100096
林敬誠,0916473600,s_202100097
馮玟鳳,0972068551,s_202100098
黃德毅,0954464466,s_202100099
王中鳳,0927227687,s_202100100
林永靈,0986811105,s_202100101
丁文辰,0972970562,s_202100102
宋眾翰,0929236931,s_202100103
孫萬馳,0934449817,s_202100104
蔡恆逞,0920390697,s_202100105
曹睿驥,0911541456,s_202100106
王樺進,0987039744,s_202100107
廖彬眾,0915252146,s_202100108
張珍雲,0924359662,s_202100109
謝洋秀,0954737238,s_202100110
鄭勝竹,0987077166,s_202100111
黃芮連,0955552659,s_202100112
劉洪瑾,0926162188,s_202100113
黃卿心,0926682307,s_202100114
石淳騏,0923993278,s_202100115
黃水祉,0917574539,s_202100116
王健玉,0960750798,s_202100117
薛東翰,0960693988,s_202100118
藍瑩甯,0925104263,s_202100119
李中彥,0937071920,s_202100120
李瑾進,0928993253,s_202100121
黃妤歡,0933402065,s_202100122
歐揚葉,0922810516,s_202100123
紀清禧,0932652656,s_202100124
周功家,0914562962,s_202100125
劉廷文,0954431164,s_202100126
黎芊雯,0933679697,s_202100127
楊利菲,0958910868,s_202100128
林熙笑,0982213968,s_202100129
尤康洪,0917372488,s_202100130
汪婷影,0952557113,s_202100131
邵媗曼,0921869038,s_202100132
龔流璟,0971677018,s_202100133
鄒容聰,0918458888,s_202100134
游尹瑜,0929300386,s_202100135
柯承淇,0989202789,s_202100136
何宗淇,0914555036,s_202100137
黃冠永,0939443238,s_202100138
王照鼎,0968347626,s_202100139
葉孝春,0960097217,s_202100140
陳庭韻,0931626082,s_202100141
梁瑋賢,0937651869,s_202100142
曾杭秉,0926695197,s_202100143
吳子康,0936522381,s_202100144
錢昱楠,0954107657,s_202100145
唐妤宜,0920175415,s_202100146
鄧洪理,0918557469,s_202100147
陳常穎,0952107201,s_202100148
曹健雅,0925949197,s_202100149
黃修雪,0936814330,s_202100150
吳羚雯,0935527094,s_202100151
白波豪,0931091163,s_202100152
余影沐,0963239517,s_202100153
黃崇木,0955479184,s_202100154
許羽詩,0988258136,s_202100155
黃江聖,0932007894,s_202100156
汪嬋緹,0938268477,s_202100157
林千淳,0971510847,s_202100158
許子汝,0925456652,s_202100159
呂璟茜,0970603384,s_202100160
李緹羚,0954640616,s_202100161
梁棟璟,0937635263,s_202100162
許叢婉,0961338076,s_202100163
康棋沐,0938214901,s_202100164
黃孝露,0938117111,s_202100165
劉佩家,0914502248,s_202100166
曾世旭,0920380271,s_202100167
吳晨翰,0972002541,s_202100168
黃恩術,0917314141,s_202100169
顏均順,0915571184,s_202100170
尤恩黛,0982757195,s_202100171
張名影,0960160668,s_202100172
錢旭柯,0926180351,s_202100173
李杉然,0986493421,s_202100174
林佳庭,0910467806,s_202100175
劉全熹,0919075246,s_202100176
張均曉,0931467418,s_202100177
鍾雙鴻,0916376315,s_202100178
孫希振,0927985666,s_202100179
吳榕煥,0935178563,s_202100180
許聖進,0919720706,s_202100181
蘇杭濱,0921408293,s_202100182
翁冬家,0913641557,s_202100183
林煥賢,0958529794,s_202100184
錢冬芊,0972910222,s_202100185
柯歆霖,0912911005,s_202100186
唐樸辰,0972664497,s_202100187
李濤聖,0982276547,s_202100188
李俊清,0938629230,s_202100189
童術豔,0926630408,s_202100190
傅泓衞,0927272798,s_202100191
藍梅紈,0954077000,s_202100192
馮宗鷺,0922781143,s_202100193
周波霜,0912771942,s_202100194
鄭濤雯,0919046696,s_202100195
何夫折,0987874667,s_202100196
陳芊藝,0937731703,s_202100197
胡益碩,0954150535,s_202100198
林品玲,0958481757,s_202100199
王寧語,0935124030,s_202100200
陳丹萱,0953888340,s_202100201
江名忠,0933052884,s_202100202
劉澤輝,0917431229,s_202100203
張博新,0916606574,s_202100204
陳勳賢,0937675825,s_202100205
洪源璇,0927992088,s_202100206
錢慧鈺,0924820631,s_202100207
彭才泓,0935660920,s_202100208
陳平知,0917033956,s_202100209
陳之宗,0972263965,s_202100210
謝冉宗,0912467678,s_202100211
沈康遙,0910872331,s_202100212
吳宏霄,0971314295,s_202100213
周勳瀚,0918496112,s_202100214
黃甯青,0987857705,s_202100215
許宏輝,0968411773,s_202100216
韓義霖,0927697755,s_202100217
馬偉歆,0938923147,s_202100218
康寶旻,0934211321,s_202100219
石惠蓉,0963487457,s_202100220
鍾嚴雄,0937517541,s_202100221
王影汝,0953399756,s_202100222
簡元卿,0934902378,s_202100223
湯劉品,0968746571,s_202100224
鄒于念,0914360748,s_202100225
黃帆慈,0970120576,s_202100226
王君黛,0911682359,s_202100227
劉先瑋,0987014287,s_202100228
林剛陽,0963808250,s_202100229
張呈翊,0988261499,s_202100230
連嫣恩,0929404043,s_202100231
尤圖德,0910586468,s_202100232
王芯藴,0955276320,s_202100233
宋山銘,0913266038,s_202100234
陳晉藴,0936496411,s_202100235
劉琳瑩,0930870480,s_202100236
連涵韋,0911129577,s_202100237
方呈婭,0916492614,s_202100238
黃俞茂,0936995575,s_202100239
張汝詠,0937164611,s_202100240
劉然語,0919060052,s_202100241
黃依名,0916303813,s_202100242
李懿賢,0960185932,s_202100243
廖容歌,0916335226,s_202100244
王彥翔,0925086045,s_202100245
張丞熹,0920477780,s_202100246
江驥霄,0928193290,s_202100247
丁文珈,0954011133,s_202100248
陸琪貴,0935460148,s_202100249
蔡照謙,0932406317,s_202100250
魏建雅,0926463075,s_202100251
林俞剛,0910866424,s_202100252
郭彥祉,0923254425,s_202100253
方健運,0935674218,s_202100254
李媗媛,0972411354,s_202100255
康威馨,0932880223,s_202100256
劉佳品,0927910464,s_202100257
李忠驥,0938024546,s_202100258
劉品波,0972530274,s_202100259
劉俠淼,0961462209,s_202100260
藍漩熙,0963067579,s_202100261
古旭業,0911329526,s_202100262
