student_id,student_name,tel,address,school,grade,status
s_202100001,鄒妮雁,0930832451,屏東縣屏東市玉光巷42號之9,新北市立三峽高級中學,三年級,
s_202100002,黃淳青,0936371056,高雄市左營區高鐵路95號,新北市立三峽高級中學,一年級,
s_202100003,黃寧瑩,0963111882,高雄市大樹區溪埔路67號,台北市立景美高級中學,二年級,
s_202100004,張芝莘,0913228078,高雄市梓官區大宅街77號7樓,台北市立光明高級中學,二年級,
s_202100005,李夫庸,0918543785,臺南市北區力行街96號,台北市立大理高級中學,三年級,
s_202100006,康皓雅,0917508780,臺中市北區育強街28號,台北市立建國高級中學,一年級,
s_202100007,徐峻顏,0952744567,臺南市鹽水區後厝65號2樓,新北市立中和高級中學,一年級,
s_202100008,姜宣韋,0929626499,高雄市前鎮區保泰路43號11樓,新北市立新店高級中學,二年級,
s_202100009,吳晉義,0921675806,臺中市西屯區中清路２段50號4樓之2,台北市立建國高級中學,三年級,
s_202100010,鍾新義,0916973072,桃園市八德區瑞安街46號2樓之19,台北市立實踐高級中學,一年級,
s_202100011,王叡春,0937204441,臺北市大同區承德路３段7號3樓,台北市立大直高級中學,三年級,
s_202100012,張泓濤,0938711503,臺東縣臺東市興安路１段21號10樓,新北市立淡水高級中學,三年級,
s_202100013,沈培靜,0937845609,高雄市苓雅區成功一路24號之5,新北市立中和高級中學,三年級,
s_202100014,康利子,0989388314,臺中市北區衛道四街59號之10,新北市立新北高級中學,二年級,
s_202100015,姜好曼,0914629502,高雄市桃源區阿其巴路23號,台北市立景美高級中學,二年級,已離開
s_202100016,薛冬慧,0986268681,臺中市清水區民享路28號之9,新北市立瑞芳高級中學,一年級,
s_202100017,蔡強清,0928444782,嘉義縣梅山鄉鹿寮坪14號,台北市立大同高級中學,三年級,
s_202100018,汪歆霞,0910384610,高雄市三民區瀋陽街79號,新北市立三峽高級中學,三年級,
s_202100019,李業江,0961517058,新北市瑞芳區草山路59號9樓,新北市立新莊高級中學,一年級,
s_202100020,郭志潮,0929565471,高雄市小港區第八十一號碼頭72號,新北市立泰山高級中學,一年級,
s_202100021,潘榮諺,0972231412,桃園市觀音區保生六路90號,台北市立大同高級中學,三年級,
s_202100022,賴苑諄,0913026504,花蓮縣吉安鄉吉昌一街19號之8,台北市立松山高級中學,三年級,
s_202100023,柯棟芝,0930845337,桃園市觀音區玉林路１段70號11樓之8,新北市立新莊高級中學,一年級,
s_202100024,蔡採璇,0910729951,宜蘭縣五結鄉孝威路67號,台北市立光明高級中學,一年級,
s_202100025,陳庸韜,0912949972,臺中市南區信義南街6號,台北市立和平高級中學,三年級,
s_202100026,曾承錦,0988177449,彰化縣伸港鄉定興路88號,台北市立南港高級中學,三年級,
s_202100027,林霖韶,0922880962,花蓮縣花蓮市林政街35號11樓,新北市立新莊高中,一年級,
s_202100028,楊瑤盧,0960787353,桃園市龍潭區九座寮91號,新北市立中和高級中學,三年級,
s_202100029,陳勳晗,0958187750,高雄市橋頭區里林東路鐵路東巷22號,台北市立中正高級中學,三年級,
s_202100030,邵萬韶,0986791156,高雄市橋頭區樹德路22號7樓,新北市立土城高級中學,三年級,
s_202100031,李舒艾,0928117823,高雄市三民區信國路32號,新北市立淡水高級中學,二年級,已離開
s_202100032,林洋舒,0954466002,桃園市中壢區金陵路41號8樓之4,新北市立三重高級中學,三年級,
s_202100033,黃文若,0988104617,嘉義縣朴子市內厝29號4樓,新北市立中和高級中學,二年級,
s_202100034,賴奇晗,0924626078,臺中市西區英才路20號4樓,新北市立三芝高級中學,二年級,
s_202100035,劉江研,0911514006,高雄市前鎮區明鳳二十街39號,新北市立淡水高級中學,二年級,
s_202100036,李年道,0917484376,桃園市中壢區忠孝路5號,台北市立建國高級中學,三年級,
s_202100037,汪慧梅,0915003526,雲林縣虎尾鎮汕尾83號,新北市立林口高級中學,二年級,
s_202100038,余煜珍,0952283867,臺中市清水區光復街71號5樓,台北市立大同高級中學,一年級,
s_202100039,林璧筱,0918235040,新北市鶯歌區朝陽街五柳巷48號,台北市立建國高級中學,二年級,
s_202100040,蔡湘玉,0933379720,高雄市橋頭區中崎路關聖巷59號,新北市立板橋高級中學,二年級,
